DATE,INFY,WIPRO,HCLTECH,TECHM,LTIM,MPHASIS,PERSISTENT,COFORGE,LTTS,KPITTECH,OFSS
2022-04-06,1811.0,580.85,1173.3,1468.55,6206.25,3165.0,4705.9,4389.15,4977.75,601.6,3709.6
2022-04-07,1814.6,583.65,1165.35,1448.75,6153.2,3161.15,4710.9,4373.15,4993.0,615.3,3700.2
2022-04-10,1766.55,571.1,1133.5,1449.2,6059.75,3129.2,4515.4,4312.3,4798.85,598.85,3692.1
2022-04-11,1742.45,558.7,1131.15,1415.0,5910.55,3057.3,4382.75,4147.1,4592.6,569.9,3603.5
2022-04-12,1748.55,559.2,1125.1,1410.45,6038.8,3050.8,4329.95,4160.8,4507.4,572.05,3568.15
2022-04-17,1621.4,538.6,1101.75,1344.55,5873.65,2879.9,4215.35,4071.75,4305.15,547.35,3587.15
2022-04-18,1562.0,530.45,1070.25,1301.2,5472.35,2857.05,4174.05,4027.3,4209.7,546.1,3565.35
2022-04-19,1587.7,536.5,1089.4,1309.2,5170.3,2886.05,3985.75,3981.7,4180.8,544.65,3518.5
2022-04-20,1618.8,539.2,1099.2,1312.7,5076.95,2900.75,4011.85,4093.05,4244.3,545.2,3532.95
2022-04-21,1585.45,537.7,1102.05,1306.5,5093.85,2895.85,4027.4,4129.25,4101.4,542.4,3485.65
2022-04-24,1561.1,529.35,1089.85,1270.4,4856.05,2794.85,4007.35,4001.45,4010.6,524.35,3483.45
2022-04-25,1581.0,529.25,1094.3,1275.45,4817.1,2767.5,4056.9,4042.85,4040.15,521.4,3546.0
2022-04-26,1552.8,518.95,1095.6,1261.25,4816.95,2797.7,4076.95,4032.95,4024.9,586.55,3504.0
2022-04-27,1582.6,522.55,1092.5,1271.3,4886.05,2798.05,4308.65,4101.15,4068.8,573.75,3526.75
2022-04-28,1567.55,508.8,1079.25,1259.0,4839.05,2843.2,4320.65,4200.2,4091.65,553.85,3561.25
2022-05-01,1541.0,495.0,1066.9,1231.2,4716.65,2740.1,4147.3,4116.55,3943.8,537.45,3503.55
2022-05-03,1535.55,491.75,1044.95,1212.8,4738.15,2683.8,4112.1,4058.45,3936.15,530.2,3431.25
2022-05-04,1585.15,501.15,1072.05,1263.35,4765.2,2693.15,4154.0,4171.6,4024.05,548.4,3489.2
2022-05-05,1542.85,485.1,1050.2,1290.75,4593.0,2694.05,4061.0,3905.4,3866.9,542.65,3517.1
2022-05-08,1570.35,483.15,1076.1,1261.15,4448.9,2641.55,3992.15,3857.55,3895.75,523.2,3563.95
2022-05-09,1553.0,477.65,1072.55,1242.3,4332.15,2650.5,3951.2,3649.3,3888.8,509.45,3571.3
2022-05-10,1526.75,471.9,1060.9,1224.45,4250.75,2627.45,3837.1,3721.6,3722.0,483.95,3534.95
2022-05-11,1508.8,473.8,1059.4,1212.8,4160.95,2512.65,3701.0,3653.9,3588.1,480.05,3500.1
2022-05-12,1504.4,468.65,1052.15,1202.85,4110.7,2443.7,3594.25,3743.25,3502.7,496.65,3230.7
2022-05-15,1489.1,468.0,1044.55,1189.05,4094.8,2477.9,3602.7,3795.7,3404.85,509.4,3151.95
2022-05-16,1518.45,486.65,1082.9,1198.2,4281.85,2574.7,3725.95,3940.65,3679.0,504.3,3267.0
